,question,answer,relevant_text,title,publication_date,inventor,category
0,What are the two types of electron acceptor materials used in the disclosed ternary blends for organic photovoltaics (OPVs)?,The two types are N-annulated perylene diimide-based electron acceptor material and BTP-based electron acceptor material.,"Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
1,Which electron donor material is used in the ternary bulk heterojunction (BHJ) blends described in the text?,"The electron donor material used is poly[(2,5-bis(2-hexyldecyloxy)phenylene)-alt-(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT).","Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
2,"What is the purpose of incorporating N-annulated perylene diimide dimer (tPDI2N-EH, PDI) or BTP-based acceptor into the ternary blend?",They are incorporated to create ternary bulk heterojunction (BHJ) blends for low-intensity light harvesting in organic photovoltaics (OPVs).,"Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
3,What are the two types of electron acceptor materials used in the ternary blends for organic photovoltaics (OPVs)?,The two types of electron acceptor materials are N-annulated perylene diimide-based electron acceptor material and BTP-based electron acceptor material.,"Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
4,What is the electron donor material used in the ternary blends?,"The electron donor material is poly[(2,5-bis(2-hexyldecyloxy)phenylene)-alt-(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT).","Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
5,What is the fullerene acceptor material combined with PPDT2FBT and the electron acceptor materials to form ternary bulk heterojunction (BHJ) blends?,"The fullerene acceptor material is [6,6]-phenyl-C61-butyric acid methyl ester (PC61BM).","Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
6,What are the two types of electron acceptor materials used in the ternary blends for organic photovoltaics?,The two types of electron acceptor materials used are N-annulated perylene diimide-based electron acceptor material and BTP-based electron acceptor material.,"Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
7,What is the electron donor material in the ternary bulk heterojunction blends?,"The electron donor material is poly[(2,5-bis(2-hexyldecyloxy)phenylene)-alt-(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT).","Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
8,Which fullerene acceptor material is incorporated into the ternary bulk heterojunction blends?,"The fullerene acceptor material incorporated is [6,6]-phenyl-C61-butyric acid methyl ester (PC61BM).","Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
9,What are the two types of electron acceptor materials used in the ternary blends for organic photovoltaics (OPVs)?,The two types are N-annulated perylene diimide-based electron acceptor material and BTP-based electron acceptor material.,"Novel organovoltaic materials and uses thereofOrganic photovoltaics (OPVs) based on a slot-die coated ternary blends for low-intensity light harvesting are disclosed herein. The ternary blends comprise either a N-annulated perylene diimide-based electron acceptor material or an aalkyl-12,13-dihydro[1,2,5] thiadiazolo[3,4e]thieno[2&#34;,3&#34;:4&#39;,5&#39;] thieno[2&#39;,3&#39;:4,5] pyrrolo[3,2-g] thieno [2&#39;,3&#39;:4,5]thieno[3,2-b]indole-2,10-diyl)bis(methanylylidene)) bis(3-oxo-2,3-dihydro1H-indene- 2,1 -diylidene))dimalononitrile) (BTP) -based electron acceptor material, a second acceptor material, and an electron donor material which comprises poly[(2,5-bis(2-hexyldecyloxy) phenylene)- alt -(5,6-difluoro-4,7-di(thiophen-2-yl)benzo[c][1,2,5]thiadiazole)] (PPDT2FBT). In an aspect, a N-annulated perylene diimide dimer (tPDI 2 N-EH, PDI) acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]- phenyl-C 61  -butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends. In a further aspect, a BTP-based electron acceptor material was incorporated into a blend of donor polymer material (PPDT2FBT) and fullerene acceptor [6,6]-phenyl-C 61 - butyric acid methyl ester (PC 61 BM) material to give ternary bulk heterojunction (BHJ) blends.",Novel organovoltaic materials and uses thereof,20220324,"['WELCH, GREGORY C.', 'FARAHAT, Mahmoud E.', 'DAYNEKO, Sergey V.']",Sustainability & Technological Innovation Questions
