question,relevant_text,answer,title,publication_date,inventor
" What is the effect of the utility model in reducing vehicle wind resistance and improving its noise, vibration, and harshness (NVH) performance?

","[{'text': 'The utility model provides an outward-opening handle with damping for an outward-opening type vehicle door and a hydrogen energy vehicle, wherein a frame protrudes downwards to form a fixing part; the bottom of the outer handle extends downwards to form a protruding part, the protruding part is bent to form a bent part, the protruding part is connected with the frame through a rotating shaft, a reset torsion spring is sleeved on the rotating shaft, one end of the reset torsion spring is fixedly connected with the frame, and the other end of the reset torsion spring is fixedly connected with the outer handle; the inhaul cable is fixed on the fixing part; the connecting line of the ball head is positioned in the inhaul cable, and the ball head is fixed on the protruding part; when the outer handle is positioned at the opening position, one end of the outer handle is positioned above the frame, the reset torsion spring is positioned in a compressed state, and the protruding part rotates to drive the ball head to be far away from the inhaul cable; when the outer handle is located the reset position, outer handle top surface and frame top surface parallel and level set up, and the kink top surface offsets with the fixed part bottom surface. The technical scheme provided by the utility model has the beneficial effects that: the wind resistance of the whole vehicle can be reduced, and the NVH performance of the whole vehicle is improved, so that the wind resistance-based vehicle has the characteristics of excellent structure, excellent performance, excellent wind resistance, flexible development, short development period and the like.', 'language': 'en', 'truncated': False}, {'text': '本实用新型提供一种带阻尼的外掀式车门外开启手柄及氢能汽车，边框向下凸伸形成固定部；外拉手底部向下凸伸形成凸伸部，凸伸部弯折形成弯折部，凸伸部与边框通过转轴连接，转轴上套设有复位扭簧，复位扭簧一端与边框固定连接，另一端与外拉手固定连接；拉索固定于固定部上；球头的连接线位于拉索内，球头固定于凸伸部上；外拉手位于开启位置时，外拉手一端位于边框上方，复位扭簧位于压缩状态，凸伸部转动带动球头远离拉索；外拉手位于复位位置时，外拉手顶面与边框顶面平齐设置，弯折部顶面与固定部底面相抵。本实用新型提出的技术方案的有益效果是：可减少整车风阻，提高整车的NVH性能具有结构优、性能优、风阻优、开发灵活、开发周期短等特点。', 'language': 'zh', 'truncated': False}]"," The utility model reduces the wind resistance of the vehicle and improves its NVH performance, resulting in a vehicle with excellent structure, excellent performance, excellent wind resistance, flexible development, and a short development period.","[{'text': 'Take damped outer formula door of lifting outward to open handle and hydrogen energy car', 'language': 'en', 'truncated': False}, {'text': '一种带阻尼的外掀式车门外开启手柄及氢能汽车', 'language': 'zh', 'truncated': False}]",20220125,"['LIU HAO', 'HAO YIGUO', 'LIU FEI']"
" What is the main purpose of the opening angle adjustment mechanism in the electronic structure of the solar photovoltaic glass top-hung window?

","[{'text': 'The utility model discloses an electronic structure of opening of solar photovoltaic glass top-hung window, including window frame and a plurality of window form, the window form sets up in the window frame, the window form upper end is articulated with the window frame, the window form includes window frame and photovoltaic glass, in photovoltaic glass embedding and the window frame, the window form lower extreme is equipped with opening device, opening device includes the motor, dwang and a plurality of push rod, the motor is fixed in window frame one side, dwang one end and motor fixed connection, the dwang other end rotates with the window frame to be connected, push rod quantity is the same with window form quantity, the push rod corresponds the setting with the window form, push rod one end is articulated with the window form lower extreme, push rod and dwang mutually perpendicular set up, push rod and dwang meshing transmission. The utility model provides an electronic structure of opening of last outstanding window of solar photovoltaic glass, the angle of windowing is adjusted to the adjustment, increases solar photovoltaic glass&#39;s photic time on the window, improves the utilization ratio of solar energy to realize one set of electrical equipment and open a plurality of window forms, the opening angle of all window forms of simultaneous control.', 'language': 'en', 'truncated': False}, {'text': '本实用新型公开了一种太阳能光伏玻璃上悬窗电动开启结构，包括窗架和若干个窗体，窗体设置于窗架内，窗体上端与窗架铰接，窗体包括窗框和光伏玻璃，光伏玻璃嵌入与窗框内，窗体下端设有开启装置，开启装置包括电机、转动杆及若干个推杆，电机固定于窗架一侧，转动杆一端与电机固定连接，转动杆另一端与窗架转动连接，推杆数量与窗体数量相同，推杆与窗体对应设置，推杆一端与窗体下端铰接，推杆与转动杆相互垂直设置，推杆与转动杆啮合传动。本实用新型提供了一种太阳能光伏玻璃上悬窗电动开启结构，调整开窗的角度，增加窗户上太阳能光伏玻璃的受光时间，提高太阳能的利用率，并且实现一套电动设备开启多个窗体，同时控制所有窗体的开启角度。', 'language': 'zh', 'truncated': False}]"," The main purpose of the opening angle adjustment mechanism is to increase the photic time (i.e., the amount of sunlight that reaches the solar photovoltaic glass) and improve the utilization ratio of solar energy by adjusting the angle of the window.","[{'text': 'Electric opening structure of solar photovoltaic glass top-hung window', 'language': 'en', 'truncated': False}, {'text': '一种太阳能光伏玻璃上悬窗电动开启结构', 'language': 'zh', 'truncated': False}]",20211224,['LIN ZHENHUA']
" What is the main purpose of the high-low altitude wind energy cooperative capturing and generating device?

","[{'text': 'The utility model discloses a high-low altitude wind energy cooperative capturing and generating device which comprises a low altitude wind energy capturing and generating system, a high altitude wind energy capturing and generating system, a common support bearing system and a grid-connected system, wherein the low altitude wind energy capturing and generating system comprises a wind energy collecting and generating system, a common support bearing system and a grid-connected system; the low-altitude wind energy capturing and generating system is arranged on the common support bearing system; the high-altitude wind energy capturing and generating system is arranged at the top of the low-altitude wind energy capturing and generating system; the grid-connected system is arranged in the common support bearing system and is respectively connected with the low-altitude wind energy capturing and generating system and the high-altitude wind energy capturing and generating system through cables; the high-altitude wind energy capturing and generating system comprises an aircraft and a cabin base system; the cabin-based system includes a steering device and a traction device. The high-low altitude wind energy cooperative capture power generation device can realize low altitude and high altitude wind energy cooperative capture and improve the power generation amount of the wind power plant.', 'language': 'en', 'truncated': False}, {'text': '本实用新型公开了一种高低空风能协同捕获发电装置，包括低空风能捕获发电系统、高空风能捕获发电系统、共支撑承载系统以及并网系统；低空风能捕获发电系统设置于共支撑承载系统上；高空风能捕获发电系统设置于低空风能捕获发电系统顶部；并网系统设置于共支撑承载系统内部，并通过电缆分别与低空风能捕获发电系统、高空风能捕获发电系统连接；所述高空风能捕获发电系统包括飞行器以及舱基系统；所述舱基系统包括转向装置以及牵引装置。本实用新型的高低空风能协同捕获发电装置，能实现低空和高空风能协同捕获，提高风电场发电量。', 'language': 'zh', 'truncated': False}]"," The main purpose of the device is to capture and generate wind energy at both low and high altitudes, improving the power generation amount of the wind power plant.","[{'text': 'High-low altitude wind energy cooperative capture power generation device', 'language': 'en', 'truncated': False}, {'text': '一种高低空风能协同捕获发电装置', 'language': 'zh', 'truncated': False}]",20220705,[]
" What is the main purpose of the electric power line monitoring device disclosed in the utility model?

","[{'text': 'The utility model discloses an electric power line monitoring device based on image vision, relates to the technical field of electric power line monitoring, and aims to solve the problem that the existing electric transmission line in the prior art is exposed in the environment for a long time, and line faults are easily caused if severe weather, foreign matter hanging and the like are encountered. The top of machine box that hangs is provided with the switching card axle, and hangs the machine box and rotate with the switching card axle and be connected, the top of switching card axle is provided with the drive sliding sleeve, and the drive sliding sleeve passes through bolted connection with the switching card axle, the inside of drive sliding sleeve is provided with the axle of hanging of interval level, and the both sides that the axle was hung to the interval level all are provided with spacing spout, the top of drive sliding sleeve is provided with the solar energy roof, and the solar energy roof passes through bolted connection with the drive sliding sleeve, the front and back both sides of machine box that hangs all are provided with the front and back visual axle, and the left and right sides of machine box that hangs all are provided with the left and right sides visual axle, the bottom of machine box that hangs is provided with the every single move visual axle.', 'language': 'en', 'truncated': False}, {'text': '本实用新型公开了一种基于图像视觉的电力线路监测装置，涉及电力线路监测技术领域，为解决现有技术中的现有的输电线路长期在环境中暴露，如遇到恶劣的天气、异物挂落等情况，极易造成线路故障的问题。所述悬挂机盒的顶部设置有转接卡轴，且悬挂机盒与转接卡轴转动连接，所述转接卡轴的上方设置有驱动滑套，且驱动滑套与转接卡轴通过螺钉连接，所述驱动滑套的内部设置有间距水平悬轴，且间距水平悬轴的两侧均设置有限位滑槽，所述驱动滑套的顶部设置有太阳能顶板，且太阳能顶板与驱动滑套通过螺钉连接，所述悬挂机盒的前后两侧均设置有前后视轴，且悬挂机盒的左右两侧均设置有左右视轴，所述悬挂机盒的底部设置有俯仰视轴。', 'language': 'zh', 'truncated': False}]"," The main purpose of the electric power line monitoring device is to solve the problem of the existing electric transmission lines being exposed in the environment for a long time, and thereby reducing the likelihood of line faults caused by severe weather, foreign matter, and other external factors.","[{'text': 'Power line monitoring devices based on image vision', 'language': 'en', 'truncated': False}, {'text': '一种基于图像视觉的电力线路监测装置', 'language': 'zh', 'truncated': False}]",20220621,[]
" What is the purpose of the angle modulation function in the intelligent photovoltaic big-arch shelter?

","[{'text': 'The utility model discloses a be applied to intelligent photovoltaic big-arch shelter in many sand blown by wind region, including base, big-arch shelter membrane and photovoltaic board, the top of base is fixed with big-arch shelter frame, and the outside cover of big-arch shelter frame is equipped with the big-arch shelter membrane, and the controller is installed to one side of big-arch shelter membrane, and the both sides of big-arch shelter membrane all are provided with irrigation mechanism, and the inside of big-arch shelter membrane one side is provided with heat dissipation mechanism, and the photovoltaic board is all installed on the top of big-arch shelter membrane, and the bottom of photovoltaic board is provided with adjustment mechanism, and the inside of photovoltaic board bottom is inserted and is equipped with the pivot. The utility model discloses a control servo motor and drive the screw rod and rotate, move the movable block and drive the rotor arm through thread engagement along the screw rod and remove immediately, the rotor arm promotes the photovoltaic board and carries out angle modulation round the pivot upset simultaneously to improve the absorption rate of photovoltaic board solar energy, realized the angle regulation function of this device from this, increase the flexibility of device angle modulation, improve the conversion rate of solar energy.', 'language': 'en', 'truncated': False}, {'text': '本实用新型公开了一种应用于多风沙区域的智能光伏大棚，包括底座、大棚膜和光伏板，底座的顶端固定有大棚框架，且大棚框架的外侧套设有大棚膜，大棚膜的一侧安装有控制器，大棚膜的两侧均设置有灌溉机构，大棚膜一侧的内部设置有散热机构，大棚膜的顶端均安装有光伏板，光伏板的底端设置有调节机构，光伏板底端的内部插设有转轴。本实用新型通过控制伺服电机带动螺杆进行旋转，紧接着移动块经过螺纹啮合沿着螺杆带动转动臂进行移动，同时转动臂推动光伏板绕着转轴翻转进行角度调节，从而提高光伏板太阳能的吸收率，由此实现了此装置的调节角度功能，增加装置角度调节的灵活性，提高太阳能的转化率。', 'language': 'zh', 'truncated': False}]"," The angle modulation function is used to improve the absorption rate of solar energy by rotating the photovoltaic board around a pivot, allowing for angle regulation and increasing the flexibility of the device.","[{'text': 'Be applied to regional intelligent photovoltaic big-arch shelter of many wind-blown sand', 'language': 'en', 'truncated': False}, {'text': '一种应用于多风沙区域的智能光伏大棚', 'language': 'zh', 'truncated': False}]",20220510,[]
" What is the main purpose of the invention in the field of building facades?

","[{'text': 'The utility model relates to the technical field of building facades, in particular to a multi-layer building facade framework, which comprises framework upright posts, a window body, a wall body and a roof, wherein each layer of framework upright post comprises a first upright post and a second upright post, a lintel plate is arranged above the first upright post, a second upright post is arranged above the lintel plate corresponding to the first upright post, a mounting frame is fixed at the outer side below the window body, the mounting frame comprises a mounting cavity and a door-shaped frame, the lintel plate is provided with a lifting hole, a solar panel can be slidably mounted in the door-shaped frame, the lower part of the solar panel extends out of the lifting hole, the upper part of the solar panel is connected with a wire wheel through a pull rope, the wire wheel is driven by a motor, the motor is arranged in the mounting cavity and is mounted on the wall body, and the roof is arranged above the second upright post; the first stand on upper strata is set up to the roof top on lower floor, sets up the multilayer as above-mentioned repetition. The solar energy conversion window can shield the window according to the lighting requirement, performs solar energy conversion, is convenient to operate, saves energy and is beautiful in atmosphere.', 'language': 'en', 'truncated': False}, {'text': '本实用新型涉及建筑立面技术领域，具体涉及一种多层建筑立面框架，包括框架立柱、窗体、墙体和屋顶，每层的框架立柱包括第一立柱和第二立柱，所述第一立柱的上方设置窗楣板，所述窗楣板上方对应第一立柱设置有第二立柱，所述窗体下方外侧固定安装架，所述安装架包括安装腔和门型架，所述窗楣板设置升降孔，所述门型架内可滑动安装有太阳能板，所述太阳能板下方伸出所述升降孔，上方通过拉绳连接线轮，所述线轮通过电机驱动，所述电机设置在安装腔内，安装在墙体上，所述第二立柱的上方设置屋顶；下层的屋顶上方设置上层的第一立柱，如上述重复设置多层。本实用新型可根据采光需求遮挡窗体，进行太阳能转化，便于操作，节能而且大气美观。', 'language': 'zh', 'truncated': False}]"," The main purpose of the invention is to create a multi-layer building facade framework that can convert solar energy, is convenient to operate, saves energy, and is aesthetically pleasing.","[{'text': 'Multi-storey building facade frame and building facade system', 'language': 'en', 'truncated': False}, {'text': '一种多层建筑立面框架及建筑立面系统', 'language': 'zh', 'truncated': False}]",20220719,[]
" What is the feature of the solar energy storage battery in the utility model that protects the energy storage battery from low temperatures?

","[{'text': 'The utility model discloses a solar energy storage battery with anti-freezing effect, which comprises a battery case, wherein the battery case comprises a case body and a heat-insulating plate, the heat-insulating plate is fixedly adhered to the inner wall of the case body, a mounting seat is fixedly arranged at the inner bottom of the battery case, the mounting seat is a rectangular box body with an opening at the upper end, an energy storage battery is detachably arranged in the mounting seat, the energy storage battery is placed in the mounting seat in the battery case, when the temperature in winter or outside is too low, the heat-insulating plate which is detachably arranged in the heat-insulating plate matching mounting groove in the battery case is used for heat-insulating protection of the energy storage battery, the problems of the service life reduction and the start efficiency reduction of the energy storage battery caused by the excessively low temperature of the energy storage battery are avoided, when the temperature in summer or outside is too high, a case cover is opened through a hasp, the heat-insulating plate in the mounting groove is taken out through a handle, the heat dissipation and the inside of the battery case is cooled through the matching of a heat-dissipating fan and a heat-dissipating mesh, and the surface temperature of the energy storage battery is reduced.', 'language': 'en', 'truncated': False}, {'text': '本实用新型公开了一种具有抗冻效果的太阳能储能电池，包括电池壳，所述电池壳包括壳体和保温板，所述保温板固定粘合与壳体的内壁，电池壳的内底部固定安装有安装座，安装座设置为上端开口的矩形盒体，安装座的内部可拆卸设置有储能电池，通过将储能电池放置在电池壳内安装座内，当冬季或外界气温过低时，通过电池壳中保温板配合安装槽内可拆卸设置的隔热板，对储能电池进行保温防护，避免储能电池温度过低时造成储能电池使用寿命降低和启动效率降慢的问题发生，当夏天或外界温度过高时，通过搭扣打开壳盖，通过提手将安装槽内隔热板取出，通过散热风扇与散热网孔配合对电池壳的内部进行散热降温，降低储能电池表面温度。', 'language': 'zh', 'truncated': False}]"," The battery case features a heat-insulating plate that is detachably arranged in a mounting groove and used to heat-insulate and protect the energy storage battery when temperatures are too low, helping to prevent reduction in the service life and start efficiency of the energy storage battery.","[{'text': 'Solar energy storage battery with anti-freezing effect', 'language': 'en', 'truncated': False}, {'text': '一种具有抗冻效果的太阳能储能电池', 'language': 'zh', 'truncated': False}]",20220628,[]
" How does the environment-friendly electric power cabinet allow for energy savings?

","[{'text': 'The utility model discloses the technical field of environment-friendly electric power cabinets, in particular to an environment-friendly electric power cabinet with an intelligent effect, which comprises a box body and a heat dissipation component, wherein the heat dissipation component is fixedly arranged in the box body, and the environment-friendly electric power cabinet also comprises: the solar energy storage box comprises an illumination component and a baffle component, wherein the illumination component is positioned in the box body, the baffle component comprises a baffle cover, the front end and the left and right ends of the baffle cover are arc-shaped, a solar panel is fixedly arranged on the side wall of the upper end of the baffle cover, a fixed rod is arranged at the lower end of the baffle cover, and a limiting block is arranged on the circumference of the outer wall of the lower end of the fixed rod. Through at the fixed mounting controller of shell inner wall upper end and lighting components, at shell lateral wall central point installation temperature detecting head, at inside bottom fixed mounting radiating components of shell, can let radiating components go to open and stop according to the temperature level in the electric power cabinet, reach energy saving&#39;s effect, can illuminate inside the electric power cabinet through lighting components, the maintenance and the detection of the maintenance personal of being convenient for.', 'language': 'en', 'truncated': False}, {'text': '本实用新型公开了环保电力柜技术领域，具体为一种带有智能效果的环保电力柜，包括箱体和散热部件，所述散热部件固定安装在箱体内部，还包括：位于箱体内的照明部件和箱体上端的挡板部件，所述挡板部件包括挡盖，所述挡盖前端和左右两端呈圆弧形，所述挡盖上端侧壁固定安装有太阳能板，所述挡盖下端设有固定杆，所述固定杆下端外壁圆周安装有限位块，本实用新型的有益效果是：通过在外壳内壁上端固定安装控制器和照明部件，在外壳侧壁中心点安装温度探测头，在外壳内部底端固定安装散热部件，可以让散热部件根据电力柜内温度高低去启停，达到节约能源的效果，可以通过照明部件照亮电力柜内部，便于维修人员的维修和检测。', 'language': 'zh', 'truncated': False}]"," According to the text, the environment-friendly electric power cabinet enables energy savings by having its heat dissipation component adjust its state (""open and stop"") according to the temperature level in the electric power cabinet, and by illuminating the interior of the cabinet through lighting components, allowing for convenient maintenance and detection by maintenance personnel.","[{'text': 'Environmental protection electric power cabinet with intelligence effect', 'language': 'en', 'truncated': False}, {'text': '一种带有智能效果的环保电力柜', 'language': 'zh', 'truncated': False}]",20220705,[]
" What is the main problem that the existing high-altitude parabolic monitoring system faces?

","[{'text': 'The utility model discloses a high-altitude parabolic monitoring system, relates to the technical field of monitoring equipment structures, and aims to solve the problem that the high-altitude parabolic monitoring and early warning device is inconvenient to use due to the fact that the existing high-altitude parabolic monitoring system is poor in using effect and needs to be connected with a power line and installed with monitoring equipment. The utility model discloses a solar energy storage battery, including installation stand, monitor camera device, bluetooth module, support mounting bracket, one side of installation stand lower extreme, the upper end of installation stand is provided with rotates the seat, it installs monitor camera device to rotate the top of seat, bluetooth module is all installed to monitor camera device&#39;s both sides, one side of installation stand lower extreme is provided with fixed mounting seat, the both sides of installation stand are all installed and are supported the mounting bracket, one side the top of supporting the mounting bracket is installed solar cell panel, solar cell panel and support mounting bracket welded connection, the opposite side the control device is installed to the top of supporting the mounting bracket, the inside of installation stand is provided with the mounting groove, the internally mounted of mounting groove has special-shaped battery.', 'language': 'en', 'truncated': False}, {'text': '本实用新型公开了一种高空抛物监视系统，涉及监控设备结构技术领域，为解决现有的高空抛物监视系统的使用效果不好，需要连接电源线和安装监控设备，从而使高空抛物监测预警装置使用起来非常的不方便的问题。所述安装立柱的上端设置有转动座，所述转动座的上方安装有监控摄像装置，所述监控摄像装置的两侧均安装有蓝牙模块，所述安装立柱下端的一侧设置有固定安装座，所述安装立柱的两侧均安装有支撑安装架，一侧所述支撑安装架的上方安装有太阳能电池板，所述太阳能电池板与支撑安装架焊接连接，另一侧所述支撑安装架的上方安装有控制装置，所述安装立柱的内部设置有安装槽，所述安装槽的内部安装有异形蓄电池。', 'language': 'zh', 'truncated': False}]", The existing high-altitude parabolic monitoring system is inconvenient to use due to its poor performance and the need to be connected to a power line and installed with monitoring equipment.,"[{'text': 'High-altitude parabolic monitoring system', 'language': 'en', 'truncated': False}, {'text': '一种高空抛物监视系统', 'language': 'zh', 'truncated': False}]",20220719,[]
" What is the main purpose of the light holes in the utility model?

","[{'text': 'The utility model belongs to the field of biomass degradation, and particularly relates to a solar-driven biomass hydrolysis saccharification reactor. The device comprises a reaction kettle provided with a top cover, wherein a stirring shaft is coaxially arranged in the reaction kettle, a spiral blade is arranged on the stirring shaft, the top of the stirring shaft penetrates out of the top cover to be in transmission connection with the output end of a driving motor, a feeding hole is formed in one side of the top cover of the reaction kettle, and a discharging hole is formed in one side of the bottom of a kettle body of the reaction kettle; the reactor comprises a reaction kettle body, a top cover and a plurality of light holes, wherein the top cover is provided with the plurality of light holes, the light holes are connected with one end of an optical fiber, the other end of the optical fiber is connected with a solar light collecting plate, and a photocatalyst carrier is arranged in the reaction kettle body. The utility model has simple structure, can fully and effectively utilize sunlight energy as a catalyst carrier which is driven by light on the stirring shaft, and realizes the catalytic reaction of cellulose hydrolysis and saccharification in the process of stirring raw materials.', 'language': 'en', 'truncated': False}, {'text': '本实用新型属于生物质降解领域，尤其涉及一种太阳能驱动的生物质水解糖化反应器。包括设有顶盖的反应釜，所述反应釜内同轴设有搅拌轴，搅拌轴上设有螺旋叶片，搅拌轴顶部穿出顶盖与驱动电机的输出端传动连接，所述反应釜顶盖的一侧设有进料口，反应釜釜体底部一侧设有出料口；所述顶盖上开设有数个光孔，光孔与光纤一端连接，光纤另一端与太阳能集光板连接，所述反应釜釜体内设有光催化剂载体。本实用新型结构简单，能够充分有效利用太阳光光能为并配合搅拌轴上被光驱动的催化剂载体，在对原料搅拌的过程中实现纤维素水解糖化的催化反应。', 'language': 'zh', 'truncated': False}]"," The light holes are connected to an optical fiber, which is connected to a solar light collecting plate, to drive a photocatalyst carrier and catalyze the reaction of cellulose hydrolysis and saccharification during stirring.","[{'text': 'Biomass hydrolysis saccharification reactor driven by solar energy', 'language': 'en', 'truncated': False}, {'text': '一种太阳能驱动的生物质水解糖化反应器', 'language': 'zh', 'truncated': False}]",20220201,"['HU JIANJUN', 'ZHANG QUANGUO', 'ZHAO SHUHENG', 'LIU XIAOFENG', 'JING YANYAN', 'YAN YUNING']"
