question,answer,relevant_text,title,publication_date,inventor
What is the main benefit of using onboard fast charging supercapacitors on heavy mining dump trucks?,The energy is delivered efficiently in short bursts at 6 times the nominal charging rate or higher.,"Dispatchable timeshifting gravitational energy storage using large electric dump trucks with regenerative braking to lift and lower soil/rocks powered by renewable energy utilising super capacitorsElectrification of heavy mining dump trucks using onboard fast charging supercapacitors, which offer 
high number of charging cycles and presents unique benefits in terms of lower cost per delivered 
kwh of energy, as well as ability to support operation with no charging delays by receiving energy 
while in motion. The energy is delivered efficiently in short bursts at 6 times the nominal charging 
rate or higher. Majority of the round-trip energy consumption, happens during the climb with 
payload. Consequently, the charging infrastructure only has to be deployed for about 25% of the 
climb. The descending empty truck recharges by regenerative braking. The regenerative braking 
energy release can be maximised by loading the truck before descent with post mineral extraction 
crushed rock/overburden or soil, which can on descent be stowed in previously mined space. This 
mechanism can be used to make a off grid mine, fully renewable energy powered, utilising an onsite 
solar farm and gravitational energy storage. The stored gravitational energy released by, loaded 
dump trucks descending between sunset and sunrise from the surface to the pit or other lower 
elevation dump area.  
On closure of an off grid mine, it can be fully converted to a gravitational energy storage site. Such a 
storage site will have ability to time shift onsite daytime solar energy into the evening peak as well 
as provide multi day energy dispatch during over cast days and other periods of energy shortage.  
This also avoids the unproductive cost of rehabilitating the exhausted mine, by converting the mine 
to an energy storage site and also extends the use of existing power infrastructure indefinitely.","[{'text': 'Dispatchable timeshifting gravitational energy storage using large electric dump trucks with regenerative braking to lift and lower soil/rocks powered by renewable energy utilising super capacitors', 'language': 'en', 'truncated': False}]",20220512,"['MUKERJI, SAUGATO']"
Can the regenerative braking energy release be maximized to provide additional energy for the mine?,"Yes, by loading the truck before descent with post-mineral extraction crushed rock/overburden or soil.","Dispatchable timeshifting gravitational energy storage using large electric dump trucks with regenerative braking to lift and lower soil/rocks powered by renewable energy utilising super capacitorsElectrification of heavy mining dump trucks using onboard fast charging supercapacitors, which offer 
high number of charging cycles and presents unique benefits in terms of lower cost per delivered 
kwh of energy, as well as ability to support operation with no charging delays by receiving energy 
while in motion. The energy is delivered efficiently in short bursts at 6 times the nominal charging 
rate or higher. Majority of the round-trip energy consumption, happens during the climb with 
payload. Consequently, the charging infrastructure only has to be deployed for about 25% of the 
climb. The descending empty truck recharges by regenerative braking. The regenerative braking 
energy release can be maximised by loading the truck before descent with post mineral extraction 
crushed rock/overburden or soil, which can on descent be stowed in previously mined space. This 
mechanism can be used to make a off grid mine, fully renewable energy powered, utilising an onsite 
solar farm and gravitational energy storage. The stored gravitational energy released by, loaded 
dump trucks descending between sunset and sunrise from the surface to the pit or other lower 
elevation dump area.  
On closure of an off grid mine, it can be fully converted to a gravitational energy storage site. Such a 
storage site will have ability to time shift onsite daytime solar energy into the evening peak as well 
as provide multi day energy dispatch during over cast days and other periods of energy shortage.  
This also avoids the unproductive cost of rehabilitating the exhausted mine, by converting the mine 
to an energy storage site and also extends the use of existing power infrastructure indefinitely.","[{'text': 'Dispatchable timeshifting gravitational energy storage using large electric dump trucks with regenerative braking to lift and lower soil/rocks powered by renewable energy utilising super capacitors', 'language': 'en', 'truncated': False}]",20220512,"['MUKERJI, SAUGATO']"
"What happens to the mine after it is closed, and how can it be converted to a more productive use?","The mine can be fully converted to a gravitational energy storage site, allowing for long-term energy storage and dispatch.","Dispatchable timeshifting gravitational energy storage using large electric dump trucks with regenerative braking to lift and lower soil/rocks powered by renewable energy utilising super capacitorsElectrification of heavy mining dump trucks using onboard fast charging supercapacitors, which offer 
high number of charging cycles and presents unique benefits in terms of lower cost per delivered 
kwh of energy, as well as ability to support operation with no charging delays by receiving energy 
while in motion. The energy is delivered efficiently in short bursts at 6 times the nominal charging 
rate or higher. Majority of the round-trip energy consumption, happens during the climb with 
payload. Consequently, the charging infrastructure only has to be deployed for about 25% of the 
climb. The descending empty truck recharges by regenerative braking. The regenerative braking 
energy release can be maximised by loading the truck before descent with post mineral extraction 
crushed rock/overburden or soil, which can on descent be stowed in previously mined space. This 
mechanism can be used to make a off grid mine, fully renewable energy powered, utilising an onsite 
solar farm and gravitational energy storage. The stored gravitational energy released by, loaded 
dump trucks descending between sunset and sunrise from the surface to the pit or other lower 
elevation dump area.  
On closure of an off grid mine, it can be fully converted to a gravitational energy storage site. Such a 
storage site will have ability to time shift onsite daytime solar energy into the evening peak as well 
as provide multi day energy dispatch during over cast days and other periods of energy shortage.  
This also avoids the unproductive cost of rehabilitating the exhausted mine, by converting the mine 
to an energy storage site and also extends the use of existing power infrastructure indefinitely.","[{'text': 'Dispatchable timeshifting gravitational energy storage using large electric dump trucks with regenerative braking to lift and lower soil/rocks powered by renewable energy utilising super capacitors', 'language': 'en', 'truncated': False}]",20220512,"['MUKERJI, SAUGATO']"
What is the purpose of the acidified urine pool?,To deodorize and nitrogen-fix the source-separated urine.,"Utilize solar energy to realize source separation urine and excrement and urine resourceization&#39;s processing systemThe invention provides a treatment system for recycling urine and excrement by utilizing solar energy, which comprises a source separation sanitary appliance, an acidified urine pool, a urine solar photo-thermal evaporation device and an excrement solar photo-thermal evaporation device, wherein the source separation sanitary appliance, the acidified urine pool, the urine solar photo-thermal evaporation device and the excrement solar photo-thermal evaporation device are sequentially communicated; urine solar photothermal evaporation device includes transparent condensing plate, baffle, evaporating chamber, collection chamber, and the evaporating chamber is located transparent condensing plate horizontal position below, and the baffle separates evaporating chamber and collection chamber completely, and the printing opacity condensing plate covers in the evaporating chamber top and guides the comdenstion water to the collection chamber. According to the invention, after the source separated urine is deodorized and nitrogen-fixed by the acidified urine pool, the source separated urine enters the urine solar photo-thermal evaporation device, the urine is efficiently evaporated to dryness to reduce the volume of the urine, the urine is concentrated into high-concentration nitrogen fertilizer and phosphate fertilizer to realize recycling, and the steam contacts the condensing plate to become water drops to flow into the collecting chamber to realize water recycling; the excrement separated from the source is subjected to efficient solar photo-thermal evaporation to realize the drying of the excrement.","[{'text': 'Utilize solar energy to realize source separation urine and excrement and urine resourceization&#39;s processing system', 'language': 'en', 'truncated': False}, {'text': '一种利用太阳能实现源分离尿液与粪便资源化的处理系统', 'language': 'zh', 'truncated': False}]",20211123,"['ZHOU XUEFEI', 'ZHANG YALEI', 'LIU JIE', 'YU ZHENJIANG', 'Lai Zhulin', 'YANG LEI']"
What is the outcome of the urine solar photo-thermal evaporation device?,"The urine is efficiently evaporated to dryness, concentrated into high-concentration nitrogen fertilizer and phosphate fertilizer, and water is recycled.","Utilize solar energy to realize source separation urine and excrement and urine resourceization&#39;s processing systemThe invention provides a treatment system for recycling urine and excrement by utilizing solar energy, which comprises a source separation sanitary appliance, an acidified urine pool, a urine solar photo-thermal evaporation device and an excrement solar photo-thermal evaporation device, wherein the source separation sanitary appliance, the acidified urine pool, the urine solar photo-thermal evaporation device and the excrement solar photo-thermal evaporation device are sequentially communicated; urine solar photothermal evaporation device includes transparent condensing plate, baffle, evaporating chamber, collection chamber, and the evaporating chamber is located transparent condensing plate horizontal position below, and the baffle separates evaporating chamber and collection chamber completely, and the printing opacity condensing plate covers in the evaporating chamber top and guides the comdenstion water to the collection chamber. According to the invention, after the source separated urine is deodorized and nitrogen-fixed by the acidified urine pool, the source separated urine enters the urine solar photo-thermal evaporation device, the urine is efficiently evaporated to dryness to reduce the volume of the urine, the urine is concentrated into high-concentration nitrogen fertilizer and phosphate fertilizer to realize recycling, and the steam contacts the condensing plate to become water drops to flow into the collecting chamber to realize water recycling; the excrement separated from the source is subjected to efficient solar photo-thermal evaporation to realize the drying of the excrement.","[{'text': 'Utilize solar energy to realize source separation urine and excrement and urine resourceization&#39;s processing system', 'language': 'en', 'truncated': False}, {'text': '一种利用太阳能实现源分离尿液与粪便资源化的处理系统', 'language': 'zh', 'truncated': False}]",20211123,"['ZHOU XUEFEI', 'ZHANG YALEI', 'LIU JIE', 'YU ZHENJIANG', 'Lai Zhulin', 'YANG LEI']"
What is the goal of the excrement solar photo-thermal evaporation device?,To dry the excrement efficiently.,"Utilize solar energy to realize source separation urine and excrement and urine resourceization&#39;s processing systemThe invention provides a treatment system for recycling urine and excrement by utilizing solar energy, which comprises a source separation sanitary appliance, an acidified urine pool, a urine solar photo-thermal evaporation device and an excrement solar photo-thermal evaporation device, wherein the source separation sanitary appliance, the acidified urine pool, the urine solar photo-thermal evaporation device and the excrement solar photo-thermal evaporation device are sequentially communicated; urine solar photothermal evaporation device includes transparent condensing plate, baffle, evaporating chamber, collection chamber, and the evaporating chamber is located transparent condensing plate horizontal position below, and the baffle separates evaporating chamber and collection chamber completely, and the printing opacity condensing plate covers in the evaporating chamber top and guides the comdenstion water to the collection chamber. According to the invention, after the source separated urine is deodorized and nitrogen-fixed by the acidified urine pool, the source separated urine enters the urine solar photo-thermal evaporation device, the urine is efficiently evaporated to dryness to reduce the volume of the urine, the urine is concentrated into high-concentration nitrogen fertilizer and phosphate fertilizer to realize recycling, and the steam contacts the condensing plate to become water drops to flow into the collecting chamber to realize water recycling; the excrement separated from the source is subjected to efficient solar photo-thermal evaporation to realize the drying of the excrement.","[{'text': 'Utilize solar energy to realize source separation urine and excrement and urine resourceization&#39;s processing system', 'language': 'en', 'truncated': False}, {'text': '一种利用太阳能实现源分离尿液与粪便资源化的处理系统', 'language': 'zh', 'truncated': False}]",20211123,"['ZHOU XUEFEI', 'ZHANG YALEI', 'LIU JIE', 'YU ZHENJIANG', 'Lai Zhulin', 'YANG LEI']"
What is the goal of the control method for optimizing a solar-to-power efficiency of a solar-aided coal-fired power system?,To maximize the solar-to-power efficiency and improve the economy of the solar-aided coal-fired power system under off-design working conditions.,"Control method for optimizing solar-to-power efficiency of solar-aided coal-fired power system under off-design working conditionsA control method for optimizing a solar-to-power efficiency of a solar-aided coal-fired power system under off-design working conditions is provided. Through reading the relevant information of the solar collecting system, the coal-fired power generation system, the environmental conditions, and the working conditions of the solar-aided coal-fired power system, the water flow rate range able to be heated by the solar collecting unit and the solar-coal feedwater flow distribution ratio range of the solar-aided coal-fired power system are determined; through establishing the relationship between the solar-to-power efficiency and the solar-coal feedwater flow distribution ratio of the solar-aided coal-fired power system under the off-design working conditions, the solar-coal feedwater flow distribution ratio is regulated, so that a flow rate of water entering the solar collecting system to be heated is controlled, thereby maximizing the solar-to-power efficiency and improving the economy of the solar-aided coal-fired power system under the off-design working conditions. The present invention provides clear guidance to optimize the solar-aided coal-fired power system under the off-design working conditions, enable solar energy to fully play its role in the solar-aided coal-fired power system, improve the utilization rate of solar energy, facilitate the consumption of the renewable energy, and greatly increase the economy of the solar-aided coal-fired power system.","[{'text': 'Control method for optimizing solar-to-power efficiency of solar-aided coal-fired power system under off-design working conditions', 'language': 'en', 'truncated': False}]",20220512,"['YAN, HUI', 'LIU, MING', 'LI, XIN', 'CHONG, Daotong', 'YAN, JUNJIE']"
How does the control method regulate the solar-coal feedwater flow distribution ratio?,By establishing the relationship between the solar-to-power efficiency and the solar-coal feedwater flow distribution ratio of the solar-aided coal-fired power system under off-design working conditions.,"Control method for optimizing solar-to-power efficiency of solar-aided coal-fired power system under off-design working conditionsA control method for optimizing a solar-to-power efficiency of a solar-aided coal-fired power system under off-design working conditions is provided. Through reading the relevant information of the solar collecting system, the coal-fired power generation system, the environmental conditions, and the working conditions of the solar-aided coal-fired power system, the water flow rate range able to be heated by the solar collecting unit and the solar-coal feedwater flow distribution ratio range of the solar-aided coal-fired power system are determined; through establishing the relationship between the solar-to-power efficiency and the solar-coal feedwater flow distribution ratio of the solar-aided coal-fired power system under the off-design working conditions, the solar-coal feedwater flow distribution ratio is regulated, so that a flow rate of water entering the solar collecting system to be heated is controlled, thereby maximizing the solar-to-power efficiency and improving the economy of the solar-aided coal-fired power system under the off-design working conditions. The present invention provides clear guidance to optimize the solar-aided coal-fired power system under the off-design working conditions, enable solar energy to fully play its role in the solar-aided coal-fired power system, improve the utilization rate of solar energy, facilitate the consumption of the renewable energy, and greatly increase the economy of the solar-aided coal-fired power system.","[{'text': 'Control method for optimizing solar-to-power efficiency of solar-aided coal-fired power system under off-design working conditions', 'language': 'en', 'truncated': False}]",20220512,"['YAN, HUI', 'LIU, MING', 'LI, XIN', 'CHONG, Daotong', 'YAN, JUNJIE']"
What benefit does the control method provide to the solar-aided coal-fired power system?,"It enables solar energy to fully play its role in the solar-aided coal-fired power system, improves the utilization rate of solar energy, and facilitates the consumption of renewable energy.","Control method for optimizing solar-to-power efficiency of solar-aided coal-fired power system under off-design working conditionsA control method for optimizing a solar-to-power efficiency of a solar-aided coal-fired power system under off-design working conditions is provided. Through reading the relevant information of the solar collecting system, the coal-fired power generation system, the environmental conditions, and the working conditions of the solar-aided coal-fired power system, the water flow rate range able to be heated by the solar collecting unit and the solar-coal feedwater flow distribution ratio range of the solar-aided coal-fired power system are determined; through establishing the relationship between the solar-to-power efficiency and the solar-coal feedwater flow distribution ratio of the solar-aided coal-fired power system under the off-design working conditions, the solar-coal feedwater flow distribution ratio is regulated, so that a flow rate of water entering the solar collecting system to be heated is controlled, thereby maximizing the solar-to-power efficiency and improving the economy of the solar-aided coal-fired power system under the off-design working conditions. The present invention provides clear guidance to optimize the solar-aided coal-fired power system under the off-design working conditions, enable solar energy to fully play its role in the solar-aided coal-fired power system, improve the utilization rate of solar energy, facilitate the consumption of the renewable energy, and greatly increase the economy of the solar-aided coal-fired power system.","[{'text': 'Control method for optimizing solar-to-power efficiency of solar-aided coal-fired power system under off-design working conditions', 'language': 'en', 'truncated': False}]",20220512,"['YAN, HUI', 'LIU, MING', 'LI, XIN', 'CHONG, Daotong', 'YAN, JUNJIE']"
What is the purpose of the thermal energy storage unit?,To store thermal energy,"Solar energy system for energy productionThe present invention relates to the utilization of solar energy to generate electricity and/or produce clean fuels or other chemicals as a long-term, transportable means of storage of solar energy on an intermittent basis. There is provided an energy generation system comprising: a solar energy collection device configured and operable for collecting and reflecting concentrated solar radiation; a solar receiver configured to receive concentrated solar radiation from a solar collection device; a thermal energy storage unit comprising at least one thermal energy storage module configured and operable to store thermal energy; a charging conduit arrangement connected between the solar receiver to the thermal energy storage unit and configured and operable for: carrying a first working fluid that transfers heat from the solar receiver to the at least one thermal energy storage unit, thereby enabling charging of the at least one thermal energy storage unit with thermal energy, and carrying the first working fluid back to the solar receiver after the first working fluid exits the thermal energy storage unit; a power conversion unit configured and operable to contain a second working fluid and convert heat transferred by the second working fluid into electrical power; and a heat dissipation pipe arrangement connected between the thermal energy storage unit to the power conversion unit and configured and operable to: carrying a second working fluid for transferring heat from the at least one thermal energy storage module to the power conversion unit, and carrying the second working fluid back to the at least one thermal energy storage module after the second working fluid exits the power conversion unit.","[{'text': 'Solar energy system for energy production', 'language': 'en', 'truncated': False}, {'text': '用于能量生产的太阳能系统', 'language': 'zh', 'truncated': False}]",20220225,[]
