question,answer,relevant_text,title,publication_date,inventor
What is the purpose of the cold accumulator evaporator?,"To supply cold to the cold storage, reducing the cost of the cold storage and saving energy.","Distributed photovoltaic energy storage refrigeration house systemThe utility model discloses a distributed photovoltaic energy storage refrigeration house system, and relates to the technical field of refrigeration houses. The system comprises a photovoltaic refrigeration system, wherein the photovoltaic refrigeration system comprises a photovoltaic cell panel, a current controller, an electricity storage equipment set, a full-automatic inverter and a cold storage compressor set which are sequentially connected; the cold accumulation system comprises cold accumulation equipment, a condenser and a cold accumulation evaporator, wherein the cold accumulation evaporator is positioned in the cold accumulation equipment, two ends of the cold accumulation evaporator are respectively connected with the cold accumulation compressor unit and the condenser, and the condenser is connected with the cold accumulation compressor unit; the refrigeration house refrigeration system comprises a refrigeration house body, a refrigeration house compressor, a refrigeration house evaporator and a refrigeration house condenser, wherein the refrigeration house body is in contact with the cold accumulation equipment, the refrigeration house evaporator and the refrigeration house compressor are located in the refrigeration house body, and the refrigeration house condenser is located in the cold accumulation equipment. The solar energy is converted into the electric energy, the electric energy is converted into the cold source to store ice, and the cold storage equipment supplies cold to the cold storage, so that the cost of the cold storage is reduced, and the energy is saved.",Distributed photovoltaic energy storage refrigeration house system,20220405,"['ZHANG YU', 'WANG GUANGLIN']"
What is the role of the refrigeration house condenser?,It is connected with the cold accumulation compressor unit and supplies steam to it.,"Distributed photovoltaic energy storage refrigeration house systemThe utility model discloses a distributed photovoltaic energy storage refrigeration house system, and relates to the technical field of refrigeration houses. The system comprises a photovoltaic refrigeration system, wherein the photovoltaic refrigeration system comprises a photovoltaic cell panel, a current controller, an electricity storage equipment set, a full-automatic inverter and a cold storage compressor set which are sequentially connected; the cold accumulation system comprises cold accumulation equipment, a condenser and a cold accumulation evaporator, wherein the cold accumulation evaporator is positioned in the cold accumulation equipment, two ends of the cold accumulation evaporator are respectively connected with the cold accumulation compressor unit and the condenser, and the condenser is connected with the cold accumulation compressor unit; the refrigeration house refrigeration system comprises a refrigeration house body, a refrigeration house compressor, a refrigeration house evaporator and a refrigeration house condenser, wherein the refrigeration house body is in contact with the cold accumulation equipment, the refrigeration house evaporator and the refrigeration house compressor are located in the refrigeration house body, and the refrigeration house condenser is located in the cold accumulation equipment. The solar energy is converted into the electric energy, the electric energy is converted into the cold source to store ice, and the cold storage equipment supplies cold to the cold storage, so that the cost of the cold storage is reduced, and the energy is saved.",Distributed photovoltaic energy storage refrigeration house system,20220405,"['ZHANG YU', 'WANG GUANGLIN']"
What is the overall function of the distributed photovoltaic energy storage refrigeration house system?,To convert solar energy into electric energy to store ice and provide cold storage while saving energy and reducing costs.,"Distributed photovoltaic energy storage refrigeration house systemThe utility model discloses a distributed photovoltaic energy storage refrigeration house system, and relates to the technical field of refrigeration houses. The system comprises a photovoltaic refrigeration system, wherein the photovoltaic refrigeration system comprises a photovoltaic cell panel, a current controller, an electricity storage equipment set, a full-automatic inverter and a cold storage compressor set which are sequentially connected; the cold accumulation system comprises cold accumulation equipment, a condenser and a cold accumulation evaporator, wherein the cold accumulation evaporator is positioned in the cold accumulation equipment, two ends of the cold accumulation evaporator are respectively connected with the cold accumulation compressor unit and the condenser, and the condenser is connected with the cold accumulation compressor unit; the refrigeration house refrigeration system comprises a refrigeration house body, a refrigeration house compressor, a refrigeration house evaporator and a refrigeration house condenser, wherein the refrigeration house body is in contact with the cold accumulation equipment, the refrigeration house evaporator and the refrigeration house compressor are located in the refrigeration house body, and the refrigeration house condenser is located in the cold accumulation equipment. The solar energy is converted into the electric energy, the electric energy is converted into the cold source to store ice, and the cold storage equipment supplies cold to the cold storage, so that the cost of the cold storage is reduced, and the energy is saved.",Distributed photovoltaic energy storage refrigeration house system,20220405,"['ZHANG YU', 'WANG GUANGLIN']"
What is the purpose of the distributed photovoltaic energy storage refrigeration house system?,"The system supplies cold to the cold storage, reducing the cost of cold storage and saving energy.","Distributed photovoltaic energy storage refrigeration house systemThe utility model discloses a distributed photovoltaic energy storage refrigeration house system, and relates to the technical field of refrigeration houses. The system comprises a photovoltaic refrigeration system, wherein the photovoltaic refrigeration system comprises a photovoltaic cell panel, a current controller, an electricity storage equipment set, a full-automatic inverter and a cold storage compressor set which are sequentially connected; the cold accumulation system comprises cold accumulation equipment, a condenser and a cold accumulation evaporator, wherein the cold accumulation evaporator is positioned in the cold accumulation equipment, two ends of the cold accumulation evaporator are respectively connected with the cold accumulation compressor unit and the condenser, and the condenser is connected with the cold accumulation compressor unit; the refrigeration house refrigeration system comprises a refrigeration house body, a refrigeration house compressor, a refrigeration house evaporator and a refrigeration house condenser, wherein the refrigeration house body is in contact with the cold accumulation equipment, the refrigeration house evaporator and the refrigeration house compressor are located in the refrigeration house body, and the refrigeration house condenser is located in the cold accumulation equipment. The solar energy is converted into the electric energy, the electric energy is converted into the cold source to store ice, and the cold storage equipment supplies cold to the cold storage, so that the cost of the cold storage is reduced, and the energy is saved.",Distributed photovoltaic energy storage refrigeration house system,20220405,"['ZHANG YU', 'WANG GUANGLIN']"
What is the main function of the cold accumulation equipment?,"The cold accumulation equipment stores cold energy from the solar panels, which is then used to cool the cold storage.","Distributed photovoltaic energy storage refrigeration house systemThe utility model discloses a distributed photovoltaic energy storage refrigeration house system, and relates to the technical field of refrigeration houses. The system comprises a photovoltaic refrigeration system, wherein the photovoltaic refrigeration system comprises a photovoltaic cell panel, a current controller, an electricity storage equipment set, a full-automatic inverter and a cold storage compressor set which are sequentially connected; the cold accumulation system comprises cold accumulation equipment, a condenser and a cold accumulation evaporator, wherein the cold accumulation evaporator is positioned in the cold accumulation equipment, two ends of the cold accumulation evaporator are respectively connected with the cold accumulation compressor unit and the condenser, and the condenser is connected with the cold accumulation compressor unit; the refrigeration house refrigeration system comprises a refrigeration house body, a refrigeration house compressor, a refrigeration house evaporator and a refrigeration house condenser, wherein the refrigeration house body is in contact with the cold accumulation equipment, the refrigeration house evaporator and the refrigeration house compressor are located in the refrigeration house body, and the refrigeration house condenser is located in the cold accumulation equipment. The solar energy is converted into the electric energy, the electric energy is converted into the cold source to store ice, and the cold storage equipment supplies cold to the cold storage, so that the cost of the cold storage is reduced, and the energy is saved.",Distributed photovoltaic energy storage refrigeration house system,20220405,"['ZHANG YU', 'WANG GUANGLIN']"
How does the system reduce the cost of cold storage?,"The system reduces the cost of cold storage by converting solar energy into electric energy, which is then used to store ice.","Distributed photovoltaic energy storage refrigeration house systemThe utility model discloses a distributed photovoltaic energy storage refrigeration house system, and relates to the technical field of refrigeration houses. The system comprises a photovoltaic refrigeration system, wherein the photovoltaic refrigeration system comprises a photovoltaic cell panel, a current controller, an electricity storage equipment set, a full-automatic inverter and a cold storage compressor set which are sequentially connected; the cold accumulation system comprises cold accumulation equipment, a condenser and a cold accumulation evaporator, wherein the cold accumulation evaporator is positioned in the cold accumulation equipment, two ends of the cold accumulation evaporator are respectively connected with the cold accumulation compressor unit and the condenser, and the condenser is connected with the cold accumulation compressor unit; the refrigeration house refrigeration system comprises a refrigeration house body, a refrigeration house compressor, a refrigeration house evaporator and a refrigeration house condenser, wherein the refrigeration house body is in contact with the cold accumulation equipment, the refrigeration house evaporator and the refrigeration house compressor are located in the refrigeration house body, and the refrigeration house condenser is located in the cold accumulation equipment. The solar energy is converted into the electric energy, the electric energy is converted into the cold source to store ice, and the cold storage equipment supplies cold to the cold storage, so that the cost of the cold storage is reduced, and the energy is saved.",Distributed photovoltaic energy storage refrigeration house system,20220405,"['ZHANG YU', 'WANG GUANGLIN']"
What is the purpose of the utility model?,To effectively solve the problems of a fixed and firm manifold structure during production and maintenance,"Water path manifold structure of hydrogen energy automobile electric pileThe utility model discloses a hydrogen energy source car pile water route manifold structure, including the mounting panel, be provided with evenly distributed&#39;s through hole on the mounting panel, every all be provided with corresponding positioning bolt in the through hole, the mounting panel upside is provided with horizontal inlet tube, inlet tube one end is provided with the cover of intaking, and the fixed intercommunication of the one end that the cover of intaking was kept away from to the inlet tube has vertical pipe, be provided with multiunit evenly distributed&#39;s mating holes on the mounting panel, and vertical pipe downside wall fixed intercommunication has the outlet pipe that matches with the mating holes, every the outlet pipe is kept away from the one end of vertical pipe and all runs through the housing outlet that mating holes fixedly connected with corresponds downwards, the housing and the housing outlet outside of intaking all are provided with the clamping ring that corresponds. The utility model effectively solves the problems; the volume leads to the fixed not firm emergence of manifold structure to slide scheduling problem because the production of error in the production course of working, simple structure, and is easy and simple to handle, conveniently dismantles and changes the manifold structure.",Water path manifold structure of hydrogen energy automobile electric pile,20211126,['ZHANG BIYONG']
What is unique about the mounting panel?,It has evenly distributed 'through holes' with corresponding positioning bolts,"Water path manifold structure of hydrogen energy automobile electric pileThe utility model discloses a hydrogen energy source car pile water route manifold structure, including the mounting panel, be provided with evenly distributed&#39;s through hole on the mounting panel, every all be provided with corresponding positioning bolt in the through hole, the mounting panel upside is provided with horizontal inlet tube, inlet tube one end is provided with the cover of intaking, and the fixed intercommunication of the one end that the cover of intaking was kept away from to the inlet tube has vertical pipe, be provided with multiunit evenly distributed&#39;s mating holes on the mounting panel, and vertical pipe downside wall fixed intercommunication has the outlet pipe that matches with the mating holes, every the outlet pipe is kept away from the one end of vertical pipe and all runs through the housing outlet that mating holes fixedly connected with corresponds downwards, the housing and the housing outlet outside of intaking all are provided with the clamping ring that corresponds. The utility model effectively solves the problems; the volume leads to the fixed not firm emergence of manifold structure to slide scheduling problem because the production of error in the production course of working, simple structure, and is easy and simple to handle, conveniently dismantles and changes the manifold structure.",Water path manifold structure of hydrogen energy automobile electric pile,20211126,['ZHANG BIYONG']
What makes the structure easy to handle?,"Its simple structure, which makes it easy to dismantle and change the manifold structure","Water path manifold structure of hydrogen energy automobile electric pileThe utility model discloses a hydrogen energy source car pile water route manifold structure, including the mounting panel, be provided with evenly distributed&#39;s through hole on the mounting panel, every all be provided with corresponding positioning bolt in the through hole, the mounting panel upside is provided with horizontal inlet tube, inlet tube one end is provided with the cover of intaking, and the fixed intercommunication of the one end that the cover of intaking was kept away from to the inlet tube has vertical pipe, be provided with multiunit evenly distributed&#39;s mating holes on the mounting panel, and vertical pipe downside wall fixed intercommunication has the outlet pipe that matches with the mating holes, every the outlet pipe is kept away from the one end of vertical pipe and all runs through the housing outlet that mating holes fixedly connected with corresponds downwards, the housing and the housing outlet outside of intaking all are provided with the clamping ring that corresponds. The utility model effectively solves the problems; the volume leads to the fixed not firm emergence of manifold structure to slide scheduling problem because the production of error in the production course of working, simple structure, and is easy and simple to handle, conveniently dismantles and changes the manifold structure.",Water path manifold structure of hydrogen energy automobile electric pile,20211126,['ZHANG BIYONG']
What is the main challenge that the utility model solves?,The main challenge of the manual structure's firm emergence due to the production of errors in the production course of working.,"Water path manifold structure of hydrogen energy automobile electric pileThe utility model discloses a hydrogen energy source car pile water route manifold structure, including the mounting panel, be provided with evenly distributed&#39;s through hole on the mounting panel, every all be provided with corresponding positioning bolt in the through hole, the mounting panel upside is provided with horizontal inlet tube, inlet tube one end is provided with the cover of intaking, and the fixed intercommunication of the one end that the cover of intaking was kept away from to the inlet tube has vertical pipe, be provided with multiunit evenly distributed&#39;s mating holes on the mounting panel, and vertical pipe downside wall fixed intercommunication has the outlet pipe that matches with the mating holes, every the outlet pipe is kept away from the one end of vertical pipe and all runs through the housing outlet that mating holes fixedly connected with corresponds downwards, the housing and the housing outlet outside of intaking all are provided with the clamping ring that corresponds. The utility model effectively solves the problems; the volume leads to the fixed not firm emergence of manifold structure to slide scheduling problem because the production of error in the production course of working, simple structure, and is easy and simple to handle, conveniently dismantles and changes the manifold structure.",Water path manifold structure of hydrogen energy automobile electric pile,20211126,['ZHANG BIYONG']
